"network,geoname_id,continent_code,continent_name,country_iso_code,country_name,is_anonymous_proxy,is_satellite_provider"
"5.175.180.16/28,6252001,NA,North America,US,United States,False,False"
"5.175.180.32/27,6252001,NA,North America,US,United States,False,False"
"5.175.180.64/26,6252001,NA,North America,US,United States,False,False"
"5.175.183.0/25,6252001,NA,North America,US,United States,False,False"
"5.175.186.128/26,6252001,NA,North America,US,United States,False,False"
"5.175.186.192/29,6252001,NA,North America,US,United States,False,False"
"5.175.186.224/27,6252001,NA,North America,US,United States,False,False"
"5.175.188.0/25,6252001,NA,North America,US,United States,False,False"
"5.175.189.0/25,6252001,NA,North America,US,United States,False,False"
"5.175.197.0/25,6252001,NA,North America,US,United States,False,False"
"5.175.199.0/25,6252001,NA,North America,US,United States,False,False"
"5.175.205.0/24,6252001,NA,North America,US,United States,False,False"
"5.175.206.0/24,6252001,NA,North America,US,United States,False,False"
"5.175.216.0/24,6252001,NA,North America,US,United States,False,False"
"5.189.203.128/25,6252001,NA,North America,US,United States,False,False"
"5.189.204.128/25,6252001,NA,North America,US,United States,False,False"
"5.189.206.0/25,6252001,NA,North America,US,United States,False,False"
"5.189.207.0/25,6252001,NA,North America,US,United States,False,False"
"5.226.169.0/24,6252001,NA,North America,US,United States,False,False"
"5.226.173.0/24,6252001,NA,North America,US,United States,False,False"
"5.231.1.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.4.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.12.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.13.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.15.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.23.0/26,6252001,NA,North America,US,United States,False,False"
"5.231.23.64/27,6252001,NA,North America,US,United States,False,False"
"5.231.23.96/28,6252001,NA,North America,US,United States,False,False"
"5.231.23.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.26.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.27.128/25,6252001,NA,North America,US,United States,False,False"
"5.231.75.16/28,6252001,NA,North America,US,United States,False,False"
"5.231.75.32/27,6252001,NA,North America,US,United States,False,False"
"5.231.75.64/26,6252001,NA,North America,US,United States,False,False"
"5.254.108.0/26,6252001,NA,North America,US,United States,False,False"
"5.254.109.0/24,6252001,NA,North America,US,United States,False,False"
"5.254.114.192/26,6252001,NA,North America,US,United States,False,False"
"5.254.127.64/26,6252001,NA,North America,US,United States,False,False"
"6.0.0.1/32,6252001,NA,North America,US,United States,False,False"
"6.0.0.2/31,6252001,NA,North America,US,United States,False,False"
"6.0.0.4/30,6252001,NA,North America,US,United States,False,False"
"6.0.0.8/29,6252001,NA,North America,US,United States,False,False"
"6.0.0.16/28,6252001,NA,North America,US,United States,False,False"
"6.0.0.32/27,6252001,NA,North America,US,United States,False,False"
"6.0.0.64/26,6252001,NA,North America,US,United States,False,False"
"6.0.0.128/25,6252001,NA,North America,US,United States,False,False"
"6.0.1.0/24,6252001,NA,North America,US,United States,False,False"
"6.0.2.0/23,6252001,NA,North America,US,United States,False,False"
"6.0.4.0/22,6252001,NA,North America,US,United States,False,False"
"6.0.8.0/21,6252001,NA,North America,US,United States,False,False"
"6.0.16.0/20,6252001,NA,North America,US,United States,False,False"
"6.0.32.0/19,6252001,NA,North America,US,United States,False,False"
